SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Trt1,tr2
5865,2,796,7:25:00 AM,1,14:10:00,6:45:00,0,793,118,14,1,0.071428571,,
5902,2,807,1:36:00 PM,1,19:32:00,5:56:00,0,806,116,15,0,0,,
5948,2,815,11:25:00 AM,1,13:51:00,2:26:00,0,814,116,12,0,0,,
6161,2,808,1:39:00 PM,1,18:46:00,5:07:00,0,806,117,20,3,0.15,,
6161,2,808,1:39:00 PM,1,18:00:00,4:21:00,0,806,117,20,3,0.15,,
6168,2,812,6:00:00 PM,1,21:15:00,3:15:00,0,812,115,11,0,0,,
6241,2,810,12:27:00 AM,1,9:30:00,9:03:00,0,807,118,16,2,0.125,,
6255,2,818,5:51:00 AM,1,9:20:00,3:29:00,0,816,117,15,0,0,,
6338,2,810,1:52:00 PM,1,21:29:00,7:37:00,0,807,118,20,1,0.05,,
6384,2,795,7:30:00 PM,1,1:30:00,6:00:00,0,794,116,17,2,0.117647059,,
6473,2,807,11:38:00 PM,1,15:28:00,15:50:00,0,805,117,12,0,0,,
6611,2,796,9:30:00 AM,1,14:02:00,4:32:00,0,793,118,20,2,0.1,,
6647,2,810,12:10:00 PM,1,15:11:00,3:01:00,0,810,115,20,1,0.05,,
6910,2,827,7:03:00 AM,1,14:30:00,7:27:00,0,827,115,4,0,0,,
6969,2,807,6:30:00 AM,1,11:19:00,4:49:00,0,805,117,22,1,0.045454545,,
7002,2,797,11:20:00 AM,1,17:29:00,6:09:00,0,796,116,21,2,0.095238095,,
7139,2,815,6:02:00 AM,1,6:54:00,0:52:00,0,814,116,10,2,0.2,,
7178,2,828,10:14:00 PM,1,21:10:00,22:56:00,1,825,118,19,0,0,,
7200,2,812,11:45:00 PM,1,6:57:00,7:12:00,0,812,115,17,7,0.411764706,,
7340,2,809,2:07:00 PM,1,19:34:00,5:27:00,0,808,116,14,3,0.214285714,,
7340,2,809,2:07:00 PM,1,19:34:00,5:27:00,0,808,116,14,3,0.214285714,,
7620,2,803,4:53:00 PM,1,1:03:00,8:10:00,0,802,116,23,9,0.391304348,,
7694,2,814,10:06:00 AM,1,12:44:00,2:38:00,0,816,113,13,0,0,,
7762,2,828,5:46:00 AM,1,17:38:00,11:52:00,0,827,116,#N/A,#N/A,#N/A,,
7765,2,811,9:59:00 PM,1,5:35:00,7:36:00,0,810,116,15,1,0.066666667,,
7768,2,818,5:50:00 PM,1,21:32:00,3:42:00,0,815,118,17,1,0.058823529,,
7816,2,827,3:25:00 PM,1,22:15:00,6:50:00,0,820,122,13,1,0.076923077,,
7822,2,823,4:27:00 AM,1,13:02:00,8:35:00,0,821,117,20,6,0.3,,
7852,2,805,6:47:00 PM,1,0:08:00,5:21:00,0,805,115,21,4,0.19047619,,
7903,2,810,12:45:00 AM,1,11:33:00,10:48:00,0,808,117,17,2,0.117647059,,
7919,2,809,8:11:00 AM,1,20:43:00,12:32:00,0,807,117,18,1,0.055555556,,
7980,2,801,12:41:00 PM,1,8:36:00,19:55:00,0,800,116,18,1,0.055555556,,
7980,2,801,12:41:00 AM,1,15:50:00,15:09:00,0,800,116,18,1,0.055555556,,
8002,2,811,6:36:00 AM,1,11:55:00,5:19:00,0,808,118,20,4,0.2,,
8082,2,809,7:25:00 AM,1,14:23:00,6:58:00,0,809,115,20,3,0.15,,
8146,2,802,9:30:00 AM,1,22:30:00,13:00:00,0,798,119,18,5,0.277777778,,
8152,2,795,10:53:00 PM,1,4:30:00,5:37:00,0,794,116,15,3,0.2,,
8156,2,822,6:23:00 AM,1,12:53:00,6:30:00,0,819,118,10,0,0,,
8200,2,796,3:55:00 PM,1,1:05:00,9:10:00,0,794,117,15,2,0.133333333,,
8219,2,796,12:31:00 PM,1,20:44:00,8:13:00,0,793,118,15,1,0.066666667,,
8220,2,796,2:07:00 PM,1,17:57:00,3:50:00,0,795,116,16,0,0,,
8238,2,799,11:01:00 AM,1,18:29:00,7:28:00,0,799,115,21,4,0.19047619,,
8597,2,825,4:01:00 PM,1,23:49:00,7:48:00,0,822,118,14,2,0.142857143,,
8603,2,810,5:26:00 PM,1,3:00:00,9:34:00,0,808,117,18,1,0.055555556,,
8654,2,813,6:55:00 AM,1,9:09:00,2:14:00,0,812,116,16,5,0.3125,,
8721,2,797,8:11:00 AM,1,19:49:00,11:38:00,0,797,115,24,7,0.291666667,,
8724,2,809,7:19:00 PM,1,22:47:00,3:28:00,0,809,115,14,2,0.142857143,,
8728,2,795,9:04:00 PM,1,2:44:00,5:40:00,0,794,116,17,0,0,,
8749,2,798,5:53:00 AM,1,8:39:00,2:46:00,0,794,119,17,1,0.058823529,,
8778,2,796,2:20:00 AM,1,9:30:00,7:10:00,0,794,117,15,0,0,,
8788,2,800,12:30:00 PM,1,15:55:00,3:25:00,1,796,119,14,1,0.071428571,,
8927,2,813,11:17:00 AM,1,18:02:00,6:45:00,0,814,114,15,3,0.2,,
8982,2,801,5:15:00 AM,1,12:10:00,6:55:00,0,800,116,16,1,0.0625,,
9086,2,805,4:28:00 AM,1,11:45:00,7:17:00,0,805,115,20,4,0.2,,
9102,2,806,6:08:00 AM,1,13:09:00,7:01:00,0,808,113,20,2,0.1,,
9103,2,806,11:49:00 AM,1,18:43:00,6:54:00,0,805,116,21,4,0.19047619,,
9132,2,796,5:25:00 AM,1,9:45:00,4:20:00,0,795,116,19,1,0.052631579,,
9159,2,799,5:15:00 AM,1,11:08:00,5:53:00,0,797,117,12,1,0.083333333,,
9187,2,820,6:40:00 AM,1,15:50:00,9:10:00,0,819,116,10,0,0,,
9187,2,821,6:40:00 AM,1,7:07:00,0:27:00,0,819,117,10,0,0,,
9446,2,824,4:12:00 PM,1,22:49:00,6:37:00,0,822,117,16,5,0.3125,,
9476,2,809,10:18:00 AM,1,15:54:00,5:36:00,0,808,116,19,3,0.157894737,,
9490,2,819,6:40:00 AM,1,12:24:00,5:44:00,0,818,116,22,5,0.227272727,,
9494,2,826,6:31:00 AM,1,13:03:00,6:32:00,0,824,117,17,2,0.117647059,,
9775,2,811,12:45:00 PM,1,18:45:00,6:00:00,0,810,116,21,0,0,,
10205,2,810,1:31:00 AM,1,8:35:00,7:04:00,0,808,117,15,0,0,,
10249,2,800,8:36:00 PM,1,0:42:00,4:06:00,0,799,116,12,0,0,,
10268,2,799,6:09:00 AM,1,16:39:00,10:30:00,0,797,117,21,2,0.095238095,,
10310,2,806,8:13:00 AM,1,15:02:00,6:49:00,0,805,116,17,2,0.117647059,,
10369,2,827,1:30:00 PM,1,18:30:00,5:00:00,0,827,115,20,5,0.25,,
10382,2,820,9:33:00 AM,1,12:03:00,2:30:00,0,818,117,21,3,0.142857143,,
10383,2,828,8:01:00 AM,1,16:44:00,8:43:00,0,824,119,19,5,0.263157895,,
10389,2,827,1:19:00 PM,1,20:05:00,6:46:00,0,824,118,15,2,0.133333333,,
10436,2,825,3:37:00 PM,1,2:00:00,10:23:00,0,825,115,21,3,0.142857143,,
10463,2,817,8:35:00 PM,1,0:52:00,4:17:00,0,815,117,15,2,0.133333333,,
10471,2,829,12:07:00 PM,1,2:50:00,14:43:00,0,827,117,19,1,0.052631579,,
10472,2,812,3:55:00 PM,1,23:45:00,7:50:00,0,810,117,21,3,0.142857143,,
11300,2,828,9:39:00 AM,1,17:49:00,8:10:00,0,826,117,9,0,0,,
11441,2,826,5:30:00 PM,1,23:02:00,5:32:00,0,826,115,13,2,0.153846154,,
11621,2,826,10:15:00 PM,1,7:02:00,8:47:00,0,827,114,19,2,0.105263158,,
11847,2,809,2:22:00 PM,1,15:45:00,1:23:00,0,810,114,17,0,0,,
11996,2,807,3:14:00 AM,1,10:14:00,7:00:00,0,806,116,21,1,0.047619048,,
12199,2,805,3:30:00 AM,1,14:51:00,11:21:00,0,802,118,21,0,0,,
12289,2,802,7:04:00 PM,1,17:54:00,22:50:00,0,801,116,20,1,0.05,,
12403,2,802,3:18:00 AM,1,9:57:00,6:39:00,1,798,119,16,0,0,,
12403,2,803,3:18:00 AM,1,9:57:00,6:39:00,1,798,120,16,0,0,,
12422,2,799,12:19:00 AM,1,14:40:00,14:21:00,0,796,118,18,2,0.111111111,,
12507,2,802,8:45:00 PM,1,1:02:00,4:17:00,0,801,116,13,0,0,,
12513,2,801,9:39:00 PM,1,3:04:00,5:25:00,0,800,116,8,1,0.125,,
12551,2,802,9:33:00 AM,1,11:42:00,2:09:00,0,802,115,13,0,0,,
12594,2,818,8:37:00 AM,1,13:14:00,4:37:00,0,818,115,17,0,0,,
12616,2,824,7:58:00 AM,1,13:00:00,5:02:00,0,823,116,17,0,0,,
12643,2,802,12:10:00 PM,1,12:00:00,23:50:00,0,802,115,19,1,0.052631579,,
12699,2,816,7:52:00 AM,1,17:34:00,9:42:00,0,815,116,21,3,0.142857143,,
12713,2,799,10:25:00 PM,1,4:00:00,5:35:00,0,798,116,18,5,0.277777778,,
12715,2,822,9:14:00 AM,1,14:31:00,5:17:00,0,820,117,18,0,0,,
12735,2,827,1:09:00 AM,1,6:49:00,5:40:00,0,826,116,20,8,0.4,,
12812,2,797,5:48:00 PM,1,22:14:00,4:26:00,0,798,114,15,0,0,,
12823,2,819,8:04:00 PM,1,7:15:00,11:11:00,0,820,114,19,0,0,,
12824,2,809,4:24:00 PM,1,20:29:00,4:05:00,0,810,114,17,0,0,,
12826,2,811,11:09:00 AM,1,21:05:00,9:56:00,0,809,117,17,1,0.058823529,,
12848,2,819,12:27:00 PM,1,20:04:00,7:37:00,0,820,114,19,1,0.052631579,,
