SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Start_H,Start_M,Start_Minutes,Finish_H,Finish_M,Finish_Minutes,Duration,Factor
7002,2,797,1899-12-31T11:20:00Z,1,1899-12-31T17:29:00Z,1900-01-01T06:09:00Z,0,796,116,21,2,0.09523809523809523,11,20,680,17,29,1049,369,1
7139,2,815,1899-12-31T06:02:00Z,1,1899-12-31T06:54:00Z,1900-01-01T00:52:00Z,0,814,116,10,2,0.2,06,02,362,06,54,414,52,1
7200,2,812,1899-12-31T23:45:00Z,1,1899-12-31T06:57:00Z,1899-12-31T07:12:00Z,0,812,115,17,7,0.4117647058823529,23,45,1425,06,57,417,432,1
7340,2,809,1899-12-31T14:07:00Z,1,1899-12-31T19:34:00Z,1900-01-01T05:27:00Z,0,808,116,14,3,0.21428571428571427,14,07,847,19,34,1174,327,1
7340,2,809,1899-12-31T14:07:00Z,1,1899-12-31T19:34:00Z,1900-01-01T05:27:00Z,0,808,116,14,3,0.21428571428571427,14,07,847,19,34,1174,327,1
7620,2,803,1899-12-31T16:53:00Z,1,1899-12-31T01:03:00Z,1899-12-31T08:10:00Z,0,802,116,23,9,0.391304347826087,16,53,1013,01,03,63,490,1
7694,2,814,1899-12-31T10:06:00Z,1,1899-12-31T12:44:00Z,1900-01-01T02:38:00Z,0,816,113,13,0,0,10,06,606,12,44,764,158,1
7765,2,811,1899-12-31T21:59:00Z,1,1899-12-31T05:35:00Z,1899-12-31T07:36:00Z,0,810,116,15,1,0.06666666666666667,21,59,1319,05,35,335,456,1
7768,2,818,1899-12-31T17:50:00Z,1,1899-12-31T21:32:00Z,1900-01-01T03:42:00Z,0,815,118,17,1,0.058823529411764705,17,50,1070,21,32,1292,222,1
7816,2,827,1899-12-31T15:25:00Z,1,1899-12-31T22:15:00Z,1900-01-01T06:50:00Z,0,820,122,13,1,0.07692307692307693,15,25,925,22,15,1335,410,1
7822,2,823,1899-12-31T04:27:00Z,1,1899-12-31T13:02:00Z,1900-01-01T08:35:00Z,0,821,117,20,6,0.3,04,27,267,13,02,782,515,1
7852,2,805,1899-12-31T18:47:00Z,1,1899-12-31T00:08:00Z,1899-12-31T05:21:00Z,0,805,115,21,4,0.19047619047619047,18,47,1127,00,08,8,321,1
7903,2,810,1899-12-31T00:45:00Z,1,1899-12-31T11:33:00Z,1900-01-01T10:48:00Z,0,808,117,17,2,0.11764705882352941,00,45,45,11,33,693,648,1
7919,2,809,1899-12-31T08:11:00Z,1,1899-12-31T20:43:00Z,1900-01-01T12:32:00Z,0,807,117,18,1,0.05555555555555555,08,11,491,20,43,1243,752,1
7980,2,801,1899-12-31T12:41:00Z,1,1899-12-31T08:36:00Z,1899-12-31T19:55:00Z,0,800,116,18,1,0.05555555555555555,12,41,761,08,36,516,1195,1
7980,2,801,1899-12-31T00:41:00Z,1,1899-12-31T15:50:00Z,1900-01-01T15:09:00Z,0,800,116,18,1,0.05555555555555555,00,41,41,15,50,950,909,1
8002,2,811,1899-12-31T06:36:00Z,1,1899-12-31T11:55:00Z,1900-01-01T05:19:00Z,0,808,118,20,4,0.2,06,36,396,11,55,715,319,1
8082,2,809,1899-12-31T07:25:00Z,1,1899-12-31T14:23:00Z,1900-01-01T06:58:00Z,0,809,115,20,3,0.15,07,25,445,14,23,863,418,1
